Здравствуйте! ,Bonjour! ,[Бонжур!] 
Привет! ,Salut! ,[Салю!] 
Доброе утро! ,Bonjour! ,[Бонжур!] 
Добрый день! ,Bonjour! ,[Бонжур!] 
Добрый вечер! ,Bonsoir! ,[Бонсуар!] 
,,"[Суайе лё (ля, ле) бьенвёню!] (в зависимости"
Добро пожаловать! ,Soyez le bienvenu! (la bienvenue/les bienvenus)! ,
,,от пола и числа людей) 
"Приятно, очень рад(а) (познакомиться) ",Enchanté(e)! ,[Аншантэ!] 
,Прощание ,
До свидания! ,Au revoir! ,[О рёвуар!] 
,,"[А ту талёр!] (говорят, когда уверены, что"
"До скорого, до встречи! ",A tout à l'heure! ,
,,увидитесь позже в этот же день) 
,,"[А плю тар!] (говорят, когда уверены, что"
До встречи! ,A plus tard! ,
,,скоро увидитесь) 
До скорой встречи! (До скорого!) ,A bientôt! ,[А бьенто!] 
До завтра! ,A demain! ,[А дёмэн!] 
Всего хорошего! (Будьте здоровы!) ,Portez-vous bien! ,[Портэ ву бьен]! 
Прощайте! ,Adieu! ,[Адьё!] 
Счастливо! (Удачи!) ,Bonne chance! ,[Бон шанс!] 
Спокойной ночи! ,Bonne nuit! ,[Бон нюи!] 
Счастливого пути! ,Bon voyage! , [Бон вуаяж!] 
Увидимся позже! ,On se verra plus tard! ,[Он сё вэра плю тар!] 
До вечера! ,A ce soir! ,[А сё суар!] 
"Уже поздно, мне пора идти. ","Il est tard, je dois partir. ","[Иль э тар, жё дуа партир.] "
"К сожалению, я должен идти. ","Je reqrette, mais je dois partir. ","[Жё рёгрэт, мэ жё дуа партир.] "
"Надеюсь, до скорого. ","A bientôt, j'espère. ","[А бьенто, жэспэр.] "
Я тороплюсь. ,Je suis pressé. ,[Жё сюи прэсэ.] 
Мы торопимся. ,Nous sommes pressés. ,[Ну сом прэсэ.] 
Речевые формулы. Самые необходимые фразы на французском ,,
Спасибо! ,Merci! ,[Мэрси!] 
Большое спасибо. ,Merci beaucoups. ,[Мэрси боку.] 
Пожалуйста (вежливая просьба). ,S’il vous plaît. ,[Силь ву пле.] 
Благодарю вас. ,Je vous remercie. ,[Жё ву рёмэрси] 
Не за что (в ответ на благодарность или,,
,De rien/Pas de quoi. ,[Дё рьен/Па дё куа.] 
извинение). ,,
Пожалуйста (в ответ на благодарность). ,Je vous en prie. ,[Жё ву занпри.] 
Могу я спросить/попросить? ,Puis-je demander? ,[Пюиж дёмандэ?] 
Хорошего дня! ,Bonne journée! ,[Бон журнэ!] 
Хорошего вечера! ,Bonne soirée! ,[Бон суарэ!] 
,,"[Экскюзэ муа!] (используется, чтобы вежливо"
Извините! ,Excuser-moi! ,
,,привлечь внимание) 
Прошу прощения! ,Je demande pardon! ,[Жё дёманд пардон!] 
Виноват(а) (моя ошибка). ,C’est ma faute. ,[Сэ ма фот.] 
Тысяча извинений! ,Mille pardons! ,[Миль пардон!] 
Извините за беспокойство. ,Excuser-moi de vous déranger. ,[Экскюзэ муа дё ву дэранже. 
Мне нужно... ,J’ai besoin de... ,[Жэ бёзуэн дё...] 
Я хотел бы... ,Je voudrais... ,[Жё вудрэ...] 
"Дайте мне, пожалуйста... ","Donnez-moi, s’il vous plaît... ","[Донэ муа, силь ву пле...] "
"Покажите мне, пожалуйста... ","Montrez-moi, s’il vous plaît... ","[Монтрэ муа, силь ву пле...] "
,,Французский разговорник 1 
"Принесите мне, пожалуйста... ","Apportez-moi, s’il vous plaît... ","[Апортэ муа, силь ву пле...] "
"Помогите мне, пожалуйста. ","Aidez-moi, s’il vous plaît. ","[Эдэ муа, силь ву пле.] "
"Подскажите мне, пожалуйста... ","Dites-moi, s’il vous plaît... ","[Дит муа, силь ву пле...] "
Вы очень любезны. ,Vous êtes très amiable. ,[Ву зэт трэ зэмабль.] 
,C'est très aimable à vous. (C'est vraiment gentil,[Сэ трэ зэмабль а ву. (Сэ врэман жантий дё
Это очень любезно с вашей стороны. ,,
,de votre part.)! ,вотр пар).] 
"Простите, не расслышал? ",Pardon? ,[Пардон?] 
"Повторите, пожалуйста. ","Répétez, s’il vous plaît. ","[Рэпэтэ, силь ву пле.] "
"Повторите еще раз, будьте добры. ","Répétez encore une fois, s’il vous plaît. ","[Рэпэтэ анкор юн фуа, силь ву пле.] "
"Говорите, пожалуйста, помедленнее. ","Parlez plus lentement, s’il vous plaît. ","[Парле плю лянтман, силь ву пле.] "
Вы говорите слишком быстро. ,Vour parlez trop vite. ,[Ву парле тро вит.] 
Я (вас) не понимаю. ,Je ne (vous) comprends pas. ,[Жё нё (ву) компран па.] 
"Простите, я не понял(а). ","Pardon, je n’ai pas compris. ","[Пардон, жё нэ па компри.] "
Напишите это. ,Ecrivez-moi cela. ,[Экривэ муа сёля.] 
Я не говорю по-французски. ,Je ne parle pas français. ,[Жё нё парль па франсэ.] 
Я плохо говорю по-французски. ,Je ne parle pas bien français. ,[Жё нё парль па бьен франсэ.] 
Я немного говорю по-английски. ,Je parle un peu anglais. ,[Жё парль эн пё англэ.] 
Я иностранец. ,Je suis étranger. ,[Жё сюи этранже.] 
Я отстал от своей группы. ,J’ai manqué mon groupe de tourists. ,[Жэ манкэ мон груп дё турист.] 
Я заблудился(лась). ,Je me suis égaré(e)/Je me suis perdu(e). ,[Жё мё сюи зэгарэ./ Жё мё сюи пэрдю.] 
Вы говорите по-английски? ,Parlez-vous anglais? ,[Парле ву англе?] 
"Здесь есть кто-нибудь, кто говорит по-",,
,Est-ce qu'il y a quelqu'un ici qui parle anglais? ,[Эс килья кэлькэн иси ки парль англе?] 
английски? ,,
Вы меня понимаете? ,Vous me comprenez? ,[Ву мё компрёнэ?] 
"Да, но мне самой (самому) еще трудно",,
,"Oui, mais il m'est encore difficile de parler. ","[Уи, мэ иль мэ анкор дифисиль дё парле.] "
говорить. ,,
,Comment cela se dit en français?/Comment dire,[Коман сёля сё ди ан франсэ?/Коман дир ан
Как это будет по-французски? ,,
,en français...? ,франсэ?] 
Как это называется по-французски? ,Comment cela s’appelle-t-il en français? ,[Коман сёля сапэль тиль ан франсэ?] 
Как это называется? ,Comment appelle-t-on ceci/ça? ,[Коман апэль тон сёси (са)?] 
Не могли бы вы это написать? ,"Pouver-vous l'écrire, s’il vous plaît? ","[Пувэ ву лекрир, силь ву пле?] "
Можно войти? ,Puis-je entrer? ,[Пюиж антрэ?] 
Где находится туалет? ,Où sont les toilettes? ,[У сон ле туалетт?] 
Я могу здесь присесть? ,Je peux m’asseoir ici? ,[Жё пё масуар иси?] 
Можно здесть курить? ,Peut-on fumer ici? ,[Пё тон фюмэ иси?] 
У меня проблема. Мне нужна помощь. ,J’ai un problème. J’ai besoin d’aide. ,[Жэ эн проблем. Жэ бёзуэн дэд.] 
,"Vous pourriez nous prendre en photo, s’il vous",
Вы не могли бы нас сфотографировать? ,,"[Ву пурье ну прандр эн фото, силь ву пле?] "
,plaît? ,
,Немного о себе ,
Меня зовут... ,Je m’appelle... ,[Жё мапэль] 
Как вас зовут? ,Comment vous appelez vous? ,[Коман ву заплэ ву?] 
Очень приятно! ,Enchanté(e)! ,[Аншантэ!] 
Я приехал(а) из России. ,Je suis venu(e) de Russie. ,[Жё сюи вёню дё рюси] 
Я здесь... ,Je suis ici... ,[Жё сюи иси...] 
- в отпуске ,- en vacances ,[- ан ваканс] 
- в командировке ,- pour affaires ,[- пур афэр] 
Я остановился... ,Je suis descendu... ,[Жё сюи дэсандю...] 
- в гостинице ,- à l'hôtel ,[- а лётэль] 
- у друзей ,- chez mes amis ,[- ше мэ зами] 
Я приехал(а)... ,Je suis venu(e)... ,[Жё сюи вёню...] 
,,Французский разговорник 2 
- с подругой ,- avec ma copine ,[- авэк ма копин] 
- с другом ,- avec mon ami ,[- авэк мон ами] 
- с женой ,- avec ma femme ,[- авэк ма фам] 
- с мужем и детьми ,- avec mon mari et mes enfants ,[- авэк мон мари э мэ занфан] 
- с родителями ,- avec mes parents ,[- авэк мэ паран] 
Я женат (замужем). ,Je suis marié(e). ,[Жё сюи марье] 
Я разведен. ,Je suis divorcé(e). ,[Жё сюи диворсэ] 
У меня сын и дочь. ,J’ai un fils et une fille. ,[Жэ эн фис э юн фий] 
,Согласие ,
Да ,Oui ,[Уи] 
Хорошо ,Bien ,[Бьен] 
Конечно ,Certainement/Bien sûr ,[Сэртэнман/Бьен сюр] 
С удовольствием ,Avec plaisir ,[Авэк плезир] 
